snippet_id,source_id,source_file,source_type,chunk_index,subject,subject_type,subject_id,predicate,object,object_type,object_id,confidence,evidence_span,alt_snippet_ids,_type_fix
src_pdf_001_chunk_0008,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,8,salt substitute,fkg:Food,fkg:FOO_00001,fkg:hasIngredient,potassium salt,fkg:ChemicalIngredient,fkg:CHE_00001,0.95,"salt substitute, composed entirely or partially of a potassium salt",,
src_pdf_001_chunk_0008,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,8,food,fkg:Food,fkg:FOO_00002,fflo:hasObligation,DeclarePotassium,fflo:ObligationType,fkg:OBL_00001,0.95,total amount of potassium... shall be declared,,
src_pdf_001_chunk_0008,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,8,food,fkg:Food,fkg:FOO_00002,fflo:hasObligation,DeclareSaltEquivalent,fflo:ObligationType,fkg:OBL_00002,0.95,salt equivalent in terms of sodium chloride (NaCl) content should also be declared,,
src_pdf_001_chunk_0008,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,8,food,fkg:Food,fkg:FOO_00002,fflo:hasObligation,DeclareStorageConditions,fflo:ObligationType,fkg:OBL_00003,0.95,any special conditions for the storage of the food,,
src_pdf_002_chunk_0001,src_pdf_002,markdown/1_chapter_1_general.md,pdf,1,"Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011",fflo:RegulatoryDocument,fkg:REG_00001,fflo:hasDefinition,"These regulations may be called the Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011",xsd:string,fkg:STR_00001,0.95,"These regulations may be called the Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011",,
src_pdf_002_chunk_0001,src_pdf_002,markdown/1_chapter_1_general.md,pdf,1,"Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011",fflo:RegulatoryDocument,fkg:REG_00001,fflo:hasDefinition,De-oiled meal means the residual material left over when oil is extracted,fkg:Food,fkg:FOO_00003,0.95,De-oiled meal means the residual material left over when oil is extracted,,
src_pdf_002_chunk_0001,src_pdf_002,markdown/1_chapter_1_general.md,pdf,1,Food Business Operator,fflo:FoodBusinessOperator,fkg:FOO_01607,fflo:hasObligation,ComplianceWithStandards,fflo:ObligationType,fkg:FOO_01608,0.95,Food Business Operator shall comply with the provisions of these regulations,,
src_pdf_002_chunk_0001,src_pdf_002,markdown/1_chapter_1_general.md,pdf,1,ComplianceWithStandards,fflo:FoodBusinessOperator,fkg:FOO_01608,fflo:hasObligation,caramel and glazing agents,fflo:ObligationType,fkg:OBL_00005,0.95,towards the standards relating to caramel and glazing agents,,
src_pdf_001_chunk_0007,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,7,special dietary Food with low sodium content,fkg:Food,fkg:FOO_00004,fflo:hasObligation,LabelDescriptionRequirement,fflo:ObligationType,fkg:OBL_00006,0.95,"label shall bear the description ""low sodium"" or ""very low sodium""",,
src_pdf_001_chunk_0007,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,7,special dietary Food with low sodium content,fkg:Food,fkg:FOO_00004,fflo:hasObligation,SodiumContentDeclaration,fflo:ObligationType,fkg:OBL_00007,0.95,sodium content shall be declared on the label to the nearest multiple of 5 mg per 100 g,,
src_pdf_001_chunk_0007,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,7,special dietary Food with low sodium content,fkg:Food,fkg:FOO_00004,fflo:hasObligation,NutrientDeclaration,fflo:ObligationType,fkg:OBL_00008,0.95,"average carbohydrate, protein and fat content ... and the kilocalorie (or kilojoule) value shall be declared",,
src_pdf_001_chunk_0007,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,7,special dietary Food with low sodium content,fkg:Food,fkg:FOO_00004,fflo:hasObligation,SaltSubstituteDeclaration,fflo:ObligationType,fkg:OBL_00009,0.95,addition of the salt substitutes ... shall be declared,,
src_pdf_001_chunk_0007,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,7,"Food Safety and Standards (Packaging and Labelling) Regulations, 2011",fflo:RegulatoryDocument,fkg:REG_00002,fflo:compliesWith,special dietary Food with low sodium content,fflo:RegulatoryDocument,fkg:FOO_00004,0.95,"in addition to the Food Safety and Standards (Packaging and Labelling) Regulations, 2011",,auto:fkg:Food→fflo:RegulatoryDocument
src_pdf_001_chunk_0007,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,7,Salt substitutes,fflo:RegulatoryDocument,fkg:FOO_00764,fflo:defines,"Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011",fflo:RegulatoryDocument,fkg:REG_00001,0.95,"salt substitutes listed in clause (6) of sub- regulation 2.9.30 of the Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011",,auto:fkg:Ingredient→fflo:RegulatoryDocument
src_pdf_002_chunk_0002,src_pdf_002,markdown/1_chapter_1_general.md,pdf,2,De-oiled meal,fkg:Ingredient,fkg:ING_00001,fflo:hasDefinition,the residual material left over when oil is extracted by a solvent from any oil-bearing material,xsd:string,fkg:STR_00002,0.95,De-oiled meal means the residual material left over when oil is extracted by a solvent from any oil-bearing material,,
src_pdf_002_chunk_0002,src_pdf_002,markdown/1_chapter_1_general.md,pdf,2,Hydrogenation,fflo:Processing,fkg:PRO_00001,fflo:hasDefinition,the process of addition of hydrogen to an edible vegetable oil using a catalyst to produce a fat with semi-solid consistency,xsd:string,fkg:STR_00003,0.95,Hydrogenation means the process of addition of hydrogen to an edible vegetable oil using a catalyst to produce a fat with semi-solid consistency,,
src_pdf_002_chunk_0002,src_pdf_002,markdown/1_chapter_1_general.md,pdf,2,Irradiation,fflo:Processing,fkg:PRO_00002,fflo:hasDefinition,"any physical procedure, involving the intentional exposure of food to ionizing radiations",xsd:string,fkg:STR_00004,0.95,"Irradiation means any physical procedure, involving the intentional exposure of food to ionizing radiations",,
src_pdf_002_chunk_0002,src_pdf_002,markdown/1_chapter_1_general.md,pdf,2,Irradiation facility,fflo:RegulatoryDocument,fkg:REG_00005,fflo:hasDefinition,any facility which is capable of being utilized for treatment of food by irradiation,xsd:string,fkg:STR_00005,0.95,Irradiation facility means any facility which is capable of being utilized for treatment of food by irradiation,,
src_pdf_002_chunk_0002,src_pdf_002,markdown/1_chapter_1_general.md,pdf,2,Irradiated food,fflo:FoodCategory,fkg:FOO_00496,fflo:hasDefinition,"articles of food subjected to radiation by X-rays generated from machine sources operated at or below an energy level of 5 million electron volts; and Sub-atomic particles, namely, electrons generated from machine sources operated at or below an energy level of 10 million electron volts, to dose levels as specified in Schedule I of the Atomic Energy (Control of Irradiation of Food) Rules 1991",xsd:string,fkg:STR_00006,0.95,"Irradiated food means articles of food subjected to radiation by: - (ii) X-rays generated from machine sources operated at or below an energy level of 5 million electron volts; and (iii) Sub-atomic particles, namely, electrons generated from machine sources operated at or below an energy level of 10 million electron volts, to dose levels as specified in Schedule I of the Atomic Energy (Control of Irradiation of Food) Rules 1991",,
src_pdf_002_chunk_0002,src_pdf_002,markdown/1_chapter_1_general.md,pdf,2,Margarine,fflo:FoodCategory,fkg:FOO_00024,fflo:hasDefinition,an emulsion of edible oils and fats with water,xsd:string,fkg:STR_00007,0.95,Margarine means an emulsion of edible oils and fats with water,,
src_pdf_002_chunk_0002,src_pdf_002,markdown/1_chapter_1_general.md,pdf,2,Operator of irradiation facility,fflo:RegulatoryOfficer,fkg:REG_00194,fflo:hasDefinition,any person appointed as such by licensee who satisfies the qualifications and requirements as for training specified in Schedule II of the Atomic Energy (Control of Irradiation of,xsd:string,fkg:STR_00008,0.95,Operator of irradiation facility means any person appointed as such by licensee who satisfies the qualifications and requirements as for training specified in Schedule II of the Atomic Energy (Control of Irradiation of,,
src_pdf_002_chunk_0003,src_pdf_002,markdown/1_chapter_1_general.md,pdf,3,Refined Vegetable Oil,fkg:Food,fkg:FOO_00005,fflo:hasDefinition,"any vegetable oil which is obtained by expression or solvent extraction of vegetable oil bearing materials, deacidified with alkali and/or by physical refining and/or by miscella refining using permitted food grade solvents and/or degumming using phosphoric/citric acid and/or any suitable food grade enzyme followed by bleaching with adsorbent earth and/or activated carbon and deodorized with steam without using any other chemical agents",xsd:string,fkg:STR_00009,0.95,Refined vegetable oil means any vegetable oil which is obtained by expression or solvent extraction,,auto:fflo:FoodCategory→fkg:Food
src_pdf_002_chunk_0003,src_pdf_002,markdown/1_chapter_1_general.md,pdf,3,Refining,fflo:ObligationType,fkg:OBL_00010,fflo:hasDefinition,"a process by which an expressed vegetable oil or a solvent-extracted oil is deacidified- (i) With alkali, or (ii) by physical refining, or both, or (iii) By miscella refining using permitted food grade solvent, followed by bleaching with absorbent earth and/or activated carbon or both of them and deodorized with steam without using any other chemical agent; (iv) refining if required may include the process of degumming using phosphoric/citric acid and any suitable food grade enzyme",xsd:string,fkg:STR_00010,0.95,Refining means a process by which an expressed vegetable oil or a solvent-extracted oil is deacidified,,auto:fflo:Processing→fflo:ObligationType
src_pdf_002_chunk_0003,src_pdf_002,markdown/1_chapter_1_general.md,pdf,3,Solvent-extracted oil,fflo:FoodCategory,fkg:FOO_00211,fflo:hasDefinition,any vegetable oil obtained from oil-bearing material by the process of extraction by a solvent,xsd:string,fkg:STR_00011,0.95,Solvent-extracted oil means any vegetable oil obtained from oil-bearing material by the process of extraction by a solvent,,
src_pdf_002_chunk_0003,src_pdf_002,markdown/1_chapter_1_general.md,pdf,3,Solvent-extracted edible flour,fflo:FoodCategory,fkg:FOO_01688,fflo:hasDefinition,"the ground material obtained from specially prepared deoiled meal, that is, the residual material left over when oil is extracted by a solvent from oil cake immediately following the single-pressing of good quality edible oilseeds",xsd:string,fkg:STR_00012,0.95,Solvent-extracted edible flour means the ground material obtained from specially prepared deoiled meal,,
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_claim_0001_001_5,fflo:PermissibleLimit,fkg:ev_dietary_fibre_claim_0001_001_5,fflo:forProperty,Dietary Fibre,ssn:Property,fkg:PRO_00130,0.95,claims on source of dietary fibre,,
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_claim_0001_001_5,fflo:PermissibleLimit,fkg:ev_dietary_fibre_claim_0001_001_5,fflo:hasValue,3g/100g,fso:Measurement,fkg:MEA_00001,0.95,not contain less than 3g/100g,,
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_claim_0001_001_5,fflo:PermissibleLimit,fkg:ev_dietary_fibre_claim_0001_001_5,fflo:inFood,food products,fkg:Food,fkg:FOO_00006,0.9,in above products if it is intended to make claims,,
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_high_claim_0002_001_5,fflo:PermissibleLimit,fkg:ev_dietary_fibre_high_claim_0002_001_5,fflo:forProperty,Dietary Fibre,ssn:Property,fkg:PRO_00130,0.95,claims on high source of dietary fibre,,
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_high_claim_0002_001_5,fflo:PermissibleLimit,fkg:ev_dietary_fibre_high_claim_0002_001_5,fflo:hasValue,3g/100g,fso:Measurement,fkg:MEA_00001,0.95,not less than 3g/100g,,
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_high_claim_0002_001_5,fflo:PermissibleLimit,fkg:ev_dietary_fibre_high_claim_0002_001_5,fflo:inFood,food products,fkg:Food,fkg:FOO_00006,0.9,in above products if it is intended to make claims,,
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_high_max_0003_001_5,fflo:PermissibleLimit,fkg:ev_dietary_fibre_high_max_0003_001_5,fflo:forProperty,Dietary Fibre,ssn:Property,fkg:PRO_00130,0.95,claims on high source of dietary fibre,,
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_high_max_0003_001_5,fflo:PermissibleLimit,fkg:ev_dietary_fibre_high_max_0003_001_5,fflo:hasValue,6g/100g,fso:Measurement,fkg:MEA_00002,0.95,not more than 6g/100g,,
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_high_max_0003_001_5,fflo:PermissibleLimit,fkg:ev_dietary_fibre_high_max_0003_001_5,fflo:inFood,food products,fkg:Food,fkg:FOO_00006,0.9,in above products if it is intended to make claims,,
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,special dietary Food with low sodium content,fflo:FoodCategory,fkg:FOO_00004,fflo:hasDefinition,"a food whose special dietary value results from the reduction, restriction, or removal of sodium",xsd:string,fkg:STR_00013,0.95,"special dietary food with low sodium content is a food whose special dietary value results from the reduction, restriction, or removal of sodium",,
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,special dietary Food with low sodium content,fkg:Food,fkg:FOO_00004,fflo:compliesWith,essential composition and standards,fflo:FoodStandard,fkg:FOO_02799,0.95,shall conform to the essential composition and standards,,
src_pdf_003_chunk_0002,src_pdf_003,markdown/amend_2_2017.md,pdf,2,"Food Safety and Standards (Amendment) Rules, 2017",fflo:RegulatoryDocument,fkg:FOO_02800,fflo:amends,"Food Safety and Standards Rules, 2011",fflo:RegulatoryDocument,fkg:REG_00007,0.95,"further to amend the Food Safety and Standards Rules, 2011 | amend the Food Safety and Standards Rules, 2011",src_pdf_003_chunk_0001,
src_pdf_003_chunk_0002,src_pdf_003,markdown/amend_2_2017.md,pdf,2,"Food Safety and Standards (Amendment) Rules, 2017",fflo:FoodStandard,fkg:FOO_02800,fflo:issuedBy,Central Government,fflo:RegulatoryBody,fkg:REG_00244,0.95,the Central Government hereby makes the following rules,,
src_pdf_003_chunk_0002,src_pdf_003,markdown/amend_2_2017.md,pdf,2,"Food Safety and Standards (Amendment) Rules, 2017",fflo:RegulatoryDocument,fkg:FOO_02800,fflo:definedIn,"Section 91 of the Food Safety and Standards Act, 2006",fflo:RegulatoryDocument,fkg:REG_00008,0.95,"powers conferred by Section 91 of the Food Safety and Standards Act, 2006",,
src_pdf_003_chunk_0002,src_pdf_003,markdown/amend_2_2017.md,pdf,2,"Food Safety and Standards Rules, 2011",fflo:RegulatoryDocument,fkg:REG_00007,fflo:definedIn,G.S.R. 362(E),fflo:RegulatoryDocument,fkg:REG_00009,0.95,"published ... vide number G.S.R.362(E) | notification number G.S.R. 362(E), dated the 5th May, 2011",src_pdf_004_chunk_0004,
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Vegetable oils,fflo:FoodCategory,fkg:FOO_01446,fflo:hasDefinition,oils produced from oilcakes or oilseeds or oil- bearing materials of plant origin and containing glycerides,xsd:string,fkg:STR_00014,0.95,Vegetable oils means oils produced from oilcakes or oilseeds or oil- bearing materials of plant origin and containing glycerides,,
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Vegetable oil product,fflo:FoodCategory,fkg:FOO_01691,fflo:hasDefinition,"any product obtained for edible purposes by subjecting one or more edible oils to any or a combination of any of the processes or operations, namely, refining, blending, hydrogenation or interesterification and winterization",xsd:string,fkg:STR_00015,0.95,Vegetable oil product means any product obtained for edible purposes by subjecting one or more edible oils to any or a combination of any of the processes or operations,,
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Vegetable oil product,fflo:FoodCategory,fkg:FOO_01691,fflo:hasDefinition,includes any other process which may be notified by the Central Government in the official Gazette,xsd:string,fkg:STR_00016,0.95,includes any other process which may be notified by the Central Government in the official Gazette,,
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Raw edible oils,fflo:FoodCategory,fkg:FOO_00007,fflo:hasDefinition,"obtained by mechanical procedures e.g expelling and pressing, with or without application of heat",xsd:string,fkg:STR_00017,0.95,"Raw edible oils are obtained by mechanical procedures e.g expelling and pressing, with or without application of heat",,
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Raw edible oils,fflo:FoodCategory,fkg:FOO_00007,fflo:hasDefinition,"The expelled/pressed oil may be purified by washing with water, settling, filtering and centrifuging",xsd:string,fkg:STR_00018,0.95,"The expelled/pressed oil may be purified by washing with water, settling, filtering and centrifuging",,
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Raw edible oils,fflo:FoodCategory,fkg:FOO_00007,fflo:hasDefinition,No processing aid shall be used,xsd:string,fkg:STR_00019,0.95,No processing aid shall be used,,
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Raw edible oils,fkg:Food,fkg:FOO_00007,fflo:hasDefinition,Such oils are fit for human consumption,xsd:string,fkg:STR_00020,0.95,Such oils are fit for human consumption,,
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Raw edible oils,fkg:Food,fkg:FOO_00007,fflo:compliesWith,sub-regulation 2.2.1,fflo:RegulatoryDocument,fkg:REG_00010,0.95,They shall conform to the provisions mentioned under sub-regulation 2.2.1,,
src_pdf_003_chunk_0001,src_pdf_003,markdown/amend_2_2017.md,pdf,1,"Food Safety and Standards (Amendment) Rules, 2017",fflo:FoodStandard,fkg:FOO_02800,lkif:created_by,Central Government,fflo:RegulatoryBody,fkg:REG_00244,0.95,Central Government hereby makes the following rules,,
src_pdf_003_chunk_0001,src_pdf_003,markdown/amend_2_2017.md,pdf,1,"Food Safety and Standards (Amendment) Rules, 2017",fflo:RegulatoryDocument,fkg:FOO_02800,fflo:definedIn,Gazette of India,fflo:RegulatoryDocument,fkg:REG_00011,0.95,come into force on the date of their publication in the Official Gazette,,
src_pdf_003_chunk_0001,src_pdf_003,markdown/amend_2_2017.md,pdf,1,"Food Safety and Standards Rules, 2011",fflo:RegulatoryDocument,fkg:REG_00007,fflo:specifiedIn,"Rule 2.1.2, clause 1, sub-clause (iii), item (b)",fflo:TableReference,fkg:REG_00012,0.95,"rule 2.1, in sub-rule 2.1.2, in clause 1... sub-clause (iii), in item (b)",,
src_pdf_003_chunk_0001,src_pdf_003,markdown/amend_2_2017.md,pdf,1,"Food Safety and Standards (Amendment) Rules, 2017",fflo:RegulatoryDocument,fkg:FOO_02800,fflo:amends,"Rule 2.1.2, clause 1, sub-clause (iii), item (b)",fflo:RegulatoryDocument,fkg:REG_00012,0.95,"in rule 2.1, in sub-rule 2.1.2, in clause 1... sub-clause (iii), in item (b)",,
src_pdf_003_chunk_0001,src_pdf_003,markdown/amend_2_2017.md,pdf,1,"Food Safety and Standards (Amendment) Rules, 2017",fflo:RegulatoryDocument,fkg:FOO_02800,UNMAPPED,substitution of 'five years' with 'eight years',fflo:RegulatoryAction,fkg:REG_00297,0.95,"for the words 'five years', the words 'eight years' shall be substituted",,
src_pdf_004_chunk_0001,src_pdf_004,markdown/amend_3_2017.md,pdf,1,"Food Safety and Standards (First Amendment) Regulations, 2022",fflo:RegulatoryDocument,fkg:FOO_02801,fflo:amends,"Food Safety and Standards Regulations, 2011",fflo:RegulatoryDocument,fkg:REG_00014,0.95,"खा(cid:20) सुर(cid:22)ा एवं मानक िनयम, 2011 का और संशोधन करने के िलए | खाद्य सुरक्षा और मानक नियम, 2011 का और संशोधन करने के लिए",src_pdf_026_chunk_0001,
src_pdf_004_chunk_0001,src_pdf_004,markdown/amend_3_2017.md,pdf,1,"Food Safety and Standards (First Amendment) Regulations, 2022",fflo:FoodStandard,fkg:FOO_02801,lkif:created_by,Central Government,fflo:RegulatoryBody,fkg:REG_00244,0.95,"के (cid:15)(cid:16)ीय सरकार खा(cid:20) सुर(cid:22)ा और मानक अिधिनयम, 2006",,
src_pdf_004_chunk_0001,src_pdf_004,markdown/amend_3_2017.md,pdf,1,"Food Safety and Standards (First Amendment) Regulations, 2022",fflo:RegulatoryDocument,fkg:FOO_02801,fflo:appliesTo,"Food Safety and Standard Act, 2006",fflo:RegulatoryDocument,fkg:REG_00015,0.95,"खा(cid:20) सुर(cid:22)ा और मानक अिधिनयम, 2006 (2006 का 34) क(cid:29) धारा 91",,
src_pdf_004_chunk_0001,src_pdf_004,markdown/amend_3_2017.md,pdf,1,"Food Safety and Standards (First Amendment) Regulations, 2022",fflo:RegulatoryDocument,fkg:FOO_02801,fflo:hasDefinition,"Food Safety and Standards (First Amendment) Regulations, 2022",xsd:string,fkg:FOO_02801,0.95,"इन िनयम$ का संि(cid:22)1 नाम खा(cid:20) सुर(cid:22)ा और मानक (दूसरा संशोधन) िनयम, 2017 | इन नियमों का संक्षिप्त नाम खाद्य सुरक्षा और मानक (पहला संशोधन) नियम, 2022 है",src_pdf_026_chunk_0001,
src_pdf_004_chunk_0003,src_pdf_004,markdown/amend_3_2017.md,pdf,3,"Food Safety and Standards (First Amendment) Rules, 2022",fflo:FoodStandard,fkg:FOO_02802,lkif:created_by,Central Government,fflo:RegulatoryBody,fkg:REG_00244,0.95,Central Government hereby makes the following rules | the Central Government hereby makes the following rules,src_pdf_026_chunk_0016,
